Address,Cost_Electric,GSF,Reading_Total_Electric,building_id,latitude,longitude
105 E Main Street - 5409,3000.46,2400.0,15820.900000000001,5409,42.4570698,-83.9461747
109 East Madison Building - 0858,36145.380000000005,22318.0,223754.68,0858,42.2743479,-83.7478809
1100 North University Building (aka NUB) - 0188,593338.62,187154.0,5159466.0,0188,42.2776451,-83.73540589999999
1443 Washtenaw Ave Building (aka Old Trotter House) - 0886,8821.48,13799.0,45114.67,0886,42.2747411,-83.7297092
1580 Ellsworth Road - 5209,10252.36,11823.0,53786.51,5209,42.2292997,-83.7215368
1736 Broadway - 0885,880.9499999999999,2970.0,3850.3100000000004,0885,42.2967825,-83.7223684
1776 Ellsworth Rd - 5374,4504.72,10190.0,22640.54,5374,42.2293102,-83.72102129999999
1910 E Ellsworth Rd - 5505,75803.08,12112.0,477877.9699999999,5505,42.2293039,-83.7201516
202 South Thayer (aka  Thayer) - 5179,46092.005,59825.0,400800.0,5179,42.2800926,-83.7399659
210-212 S. Fifth Ave - 5497,39545.54,13711.0,243286.99000000002,5497,42.279903,-83.7464628
214 S State St - 5351,4838.72,4119.0,24889.58,5351,42.27967,-83.74096630000001
300 North Ingalls Building (aka 300 NIB) - 0332,200368.11000000002,325677.0,1973620.48,0332,42.2834839,-83.7378367
305 W Liberty - 5324,19888.22,19000.0,116938.28000000001,5324,42.2790058,-83.7516192
317 Maynard St - 5516,137592.84,42204.0,1039872.0,5516,42.2787513,-83.7418801
320 W Ann - 8157,599.4,3000.0,2461.93,8157,42.2826484,-83.75110409999999
3520 Green Court - 5574,214194.24,112145.0,1362692.62,5574,42.3006287,-83.69142579999999
3915 Research Park Drive - 5352,1200.45,2680.0,6237.650000000001,5352,42.23636440000001,-83.7323038
439 S Division Street - 5327,278.46000000000004,3210.0,195.72,5327,42.27648240000001,-83.74392209999999
555 SOUTH FOREST BUILDING - 0879,10110.24,3850.0,53820.17999999999,0879,42.2752767,-83.73286829999999
617 E HURON - 5622,824.77,8532.0,4047.1400000000003,5622,42.28143,-83.74112939999999
725 State Circle - 5372,20516.45,24582.0,121530.40000000001,5372,42.2341563,-83.74371169999999
7300 W Joy Road - 5506,166884.26,147152.0,1263304.0,5506,42.3428577,-83.875711
802 MONROE RENTAL PROPERTY - 5577,2922.49,3010.0,15076.249999999998,5577,42.27312,-83.73920849999999
804 MONROE RENTAL PROPERTY - 5578,1263.53,2717.0,2934.88,5578,42.2731164,-83.7390556
Administrative Services - 0815,336504.72500000003,91653.0,2926128.0,0815,42.2690582,-83.7471453
Alice Lloyd Hall (aka ALH) - 0059,157822.78499999997,176615.0,1372372.0,0059,42.2812445,-83.73179879999999
Alumni Center - 0192,31532.075000000004,35315.0,274192.0,0192,42.2801585,-83.7376019
Alumni Field At Carol Hutchins Stadium - 5123,20911.14,12209.0,181836.0,5123,42.2667552,-83.74055059999999
Angell & Tisch Halls - 0152,200853.36,238549.0,1746551.0,0152,42.276754,-83.7407538
Animal Research Facility (aka ARF) - 0168,5460.910000000002,15591.0,47486.280000000006,0168,42.2836483,-83.73378579999999
Ann Arbor Plaza - 5081,3626.75,1000.0,18734.33,5081,42.2747799,-83.7334323
Arbor Lakes 1 - 8079,153960.42,39867.0,1592361.47,8079,42.3117412,-83.6736627
Arbor Lakes 2 - 8080,325534.97,89277.0,3366899.9000000004,8080,42.3096531,-83.6765812
Arbor Lakes 3 - 8081,335972.95,84893.0,3474856.63,8081,42.3096372,-83.6766354
Argus I - 0830,36214.14,36038.0,203684.97,0830,42.277385,-83.754115
Argus II - 0831,72594.68,69214.0,349132.0,0831,42.2778073,-83.75543329999999
Art & Architecture (aka A&A) - 0432,367241.47,264419.0,3193404.0,0432,42.2899012,-83.71729839999999
Ath Crew Boathouse Facility - 3546,8112.080000000001,7454.0,38991.79,3546,42.2046785,-83.492821
Athletic Department Operations Center - 5371,50423.509999999995,18674.0,317721.39,5371,42.2622328,-83.7407393
Atrium IV Office Center - 5447,5685.19,4753.0,28543.46,5447,42.2394045,-83.7332784
Aux Services - 2501,260339.85,80622.0,2287136.0,2501,42.2993966,-83.6939366
Bahna Wrestling  Center - 5236,49568.079999999994,22072.0,312037.21,5236,42.2521181,-83.7430608
Baits I Complex - 0510,43126.72,165366.0,375015.0,0510,42.2928711,-83.7244666
Baits II Complex - 0515,79483.40000000001,169800.0,691160.0,0515,42.2937065,-83.7238639
Base Lake Farm Storage & Shop - 3511,943.31,5630.0,3242.96,3511,42.416465,-83.89976899999999
Bentley Historical Library (aka Bentley) - 0439,128064.09999999999,66537.0,1113601.0,0439,42.2895809,-83.7125093
Betsy Barbour - 0051,18295.8,33925.0,159094.0,0051,42.2772778,-83.741557
Biological Science Building (aka BSB) - 5169,930615.2700000001,312211.0,8092307.0,5169,42.2789121,-83.7344404
Biomedical Science Research Building (aka BSRB) - 5037,2474506.5700000003,593717.0,21517448.0,5037,42.2817049,-83.73405360000001
Biostation (aka Pellston Biological Station) - 4001,70073.85999999999,127255.0,432117.0,4001,45.558653,-84.67759769999999
Blau Hall - 5370,236317.32,106172.0,2054933.0,5370,42.2731115,-83.736071
"Bob and Betty Beyster Building (aka BBBB, CSE, Computer Science Engineering Building) - 5092",250847.65000000002,104132.0,2181283.82,5092,42.2930138,-83.71637199999999
Bonisteel Interdisciplinary Research (aka BIRB) - 0402,261553.69999999998,21993.0,2274380.0,0402,42.2899384,-83.7135256
Boyer Building (aka Boyer) - 0880,13627.68,15472.0,72142.26999999999,0880,42.2697402,-83.7470137
"Brehm Tower (aka Kellogg Expansion, BT, Kellogg Eye Center) - 5102",1094893.045,252234.0,9520809.0,5102,42.2882581,-83.7372608
Briarwood 1 - 8076,90654.85,17857.0,580626.8799999999,8076,42.2431,-83.74190999999999
Briarwood 10 - 8130,66714.04999999999,17299.0,423428.0,8130,42.2428573,-83.7508309
Briarwood 2 - 8030,66090.05,15924.0,419127.1,8030,42.24304559999999,-83.7428599
Briarwood 3 - 8065,27363.870000000003,10262.0,144393.30000000002,8065,42.2427663,-83.7442337
Briarwood 4 - 8042,44148.32,14063.0,262968.85,8042,42.2431547,-83.7450221
Briarwood 5 - 8016,33477.46000000001,9378.0,205790.5,8016,42.24312320000001,-83.74585189999999
Briarwood 9 - 8142,27834.16,5324.0,169203.93000000002,8142,42.243101,-83.7496692
Brighton Center for Specialty Care (aka BCSC) - 5239,767917.4099999999,299610.0,7033460.0,5239,42.5420501,-83.80155160000001
Brighton Health Center (aka BHC) - 5029,121040.31,40865.0,782004.4247999999,5029,42.5447814,-83.7952794
Buhl - 0210,21005.42,18971.0,182655.90000000002,0210,42.2836608,-83.73377219999999
Buhr Library (aka Buhr Building) - 0799,221139.66,187245.0,1959672.0,0799,42.2713366,-83.7473569
Burlington Spine Program - 5011,176012.94,84280.0,880492.7399999998,5011,42.2446375,-83.74489849999999
Burnam House - 0010,2624.64,3482.0,13774.210000000001,0010,42.2799544,-83.7212419
Bursley Hall (aka Burlodge) - 0555,289733.41,341601.0,2519421.0,0555,42.2937497,-83.720873
Burton Tower - 0155,16306.869999999999,20103.0,141799.0,0155,42.2795088,-83.7383413
CAMP DAVIS COMPLEX - 4572,4939.15,28321.0,62083.0,4572,43.286,-110.661
CENTRAL CAMPUS RESIDENTIAL DEVELOPMENT COMPLEX - 5618,37405.240000000005,0.0,325263.0,5618,42.2695762,-83.7451346
Campus Safety Services Building (aka CSSB) - 0742,157340.24,108063.0,1368176.0,0742,42.265239,-83.74395539999999
Canham Natatorium - 0718,213868.365,77639.0,1859725.0,0718,42.2694901,-83.7433517
Canton Health Center - 5019,113561.70999999999,51552.0,732653.49,5019,42.314004,-83.48882909999999
Cardiovascular Center (aka CVC) - 5109,1353926.4619999998,414649.0,14716592.0,5109,42.2831396,-83.7310911
Carver Building - 0854,14078.77,12184.0,71564.17,0854,42.2792571,-83.7428644
Central Campus Classroom Building (aka CCCB) - 5451,81168.38,108758.0,705812.0,5451,42.2780469,-83.733998
Chelsea Family Practice - 0348,53787.340000000004,25136.0,424240.0,0348,42.3083837,-84.01680850000001
Chemistry Building (aka Dow Laboratory) - 0158,2141927.885,545112.0,18625460.0,0158,42.2780097,-83.73657089999999
Child Care Center (aka CCC) - 0390,18405.14,14850.0,107426.20000000001,0390,42.2884118,-83.70777129999999
Children's & Women's (aka C & W) - 5173,2839611.498,1126305.0,30865343.0,5173,42.28203389999999,-83.72728819999999
Chrysler Center for Continuing Education (aka Chrysler Center) - 0443,53087.57,45310.0,461631.0,0443,42.2906273,-83.7166981
Clements Library - 0159,32394.920000000006,27257.0,281695.0,0159,42.2754392,-83.73799180000002
"Climate and Space Research (aka Space Research, CSRB) - 0441",165853.38999999998,105521.0,1442203.3800000001,0441,42.2943931,-83.7115146
Coliseum (aka Sports Coliseum) - 0710,27975.35,38404.0,171243.45,0710,42.2720226,-83.74596199999999
Commonwealth - MCARE Psych - 8100,66563.95999999999,43423.0,389743.11000000004,8100,42.3063254,-83.6969149
